environment,split,source_stem,image,mask
office,train,000088,dataset/drivable/images/train/office_000088.png,dataset/drivable/masks/train/office_000088.png
office,train,000423,dataset/drivable/images/train/office_000423.png,dataset/drivable/masks/train/office_000423.png
office,train,000251,dataset/drivable/images/train/office_000251.png,dataset/drivable/masks/train/office_000251.png
office,train,000145,dataset/drivable/images/train/office_000145.png,dataset/drivable/masks/train/office_000145.png
office,train,000132,dataset/drivable/images/train/office_000132.png,dataset/drivable/masks/train/office_000132.png
office,train,000329,dataset/drivable/images/train/office_000329.png,dataset/drivable/masks/train/office_000329.png
office,train,000315,dataset/drivable/images/train/office_000315.png,dataset/drivable/masks/train/office_000315.png
office,train,000307,dataset/drivable/images/train/office_000307.png,dataset/drivable/masks/train/office_000307.png
office,train,000436,dataset/drivable/images/train/office_000436.png,dataset/drivable/masks/train/office_000436.png
office,train,000240,dataset/drivable/images/train/office_000240.png,dataset/drivable/masks/train/office_000240.png
office,train,000417,dataset/drivable/images/train/office_000417.png,dataset/drivable/masks/train/office_000417.png
office,train,000297,dataset/drivable/images/train/office_000297.png,dataset/drivable/masks/train/office_000297.png
office,train,000182,dataset/drivable/images/train/office_000182.png,dataset/drivable/masks/train/office_000182.png
office,train,000218,dataset/drivable/images/train/office_000218.png,dataset/drivable/masks/train/office_000218.png
office,train,000412,dataset/drivable/images/train/office_000412.png,dataset/drivable/masks/train/office_000412.png
office,train,000293,dataset/drivable/images/train/office_000293.png,dataset/drivable/masks/train/office_000293.png
office,train,000083,dataset/drivable/images/train/office_000083.png,dataset/drivable/masks/train/office_000083.png
office,train,000383,dataset/drivable/images/train/office_000383.png,dataset/drivable/masks/train/office_000383.png
office,train,000319,dataset/drivable/images/train/office_000319.png,dataset/drivable/masks/train/office_000319.png
office,train,000554,dataset/drivable/images/train/office_000554.png,dataset/drivable/masks/train/office_000554.png
office,train,000118,dataset/drivable/images/train/office_000118.png,dataset/drivable/masks/train/office_000118.png
office,train,000394,dataset/drivable/images/train/office_000394.png,dataset/drivable/masks/train/office_000394.png
office,train,000504,dataset/drivable/images/train/office_000504.png,dataset/drivable/masks/train/office_000504.png
office,train,000186,dataset/drivable/images/train/office_000186.png,dataset/drivable/masks/train/office_000186.png
office,train,000075,dataset/drivable/images/train/office_000075.png,dataset/drivable/masks/train/office_000075.png
office,train,000378,dataset/drivable/images/train/office_000378.png,dataset/drivable/masks/train/office_000378.png
office,train,000116,dataset/drivable/images/train/office_000116.png,dataset/drivable/masks/train/office_000116.png
office,train,000514,dataset/drivable/images/train/office_000514.png,dataset/drivable/masks/train/office_000514.png
office,train,000579,dataset/drivable/images/train/office_000579.png,dataset/drivable/masks/train/office_000579.png
office,train,000564,dataset/drivable/images/train/office_000564.png,dataset/drivable/masks/train/office_000564.png
office,train,000563,dataset/drivable/images/train/office_000563.png,dataset/drivable/masks/train/office_000563.png
office,train,000552,dataset/drivable/images/train/office_000552.png,dataset/drivable/masks/train/office_000552.png
office,train,000335,dataset/drivable/images/train/office_000335.png,dataset/drivable/masks/train/office_000335.png
office,train,000462,dataset/drivable/images/train/office_000462.png,dataset/drivable/masks/train/office_000462.png
office,train,000433,dataset/drivable/images/train/office_000433.png,dataset/drivable/masks/train/office_000433.png
office,train,000207,dataset/drivable/images/train/office_000207.png,dataset/drivable/masks/train/office_000207.png
office,train,000254,dataset/drivable/images/train/office_000254.png,dataset/drivable/masks/train/office_000254.png
office,train,000201,dataset/drivable/images/train/office_000201.png,dataset/drivable/masks/train/office_000201.png
office,train,000179,dataset/drivable/images/train/office_000179.png,dataset/drivable/masks/train/office_000179.png
office,train,000015,dataset/drivable/images/train/office_000015.png,dataset/drivable/masks/train/office_000015.png
office,train,000106,dataset/drivable/images/train/office_000106.png,dataset/drivable/masks/train/office_000106.png
office,train,000548,dataset/drivable/images/train/office_000548.png,dataset/drivable/masks/train/office_000548.png
office,train,000556,dataset/drivable/images/train/office_000556.png,dataset/drivable/masks/train/office_000556.png
office,train,000096,dataset/drivable/images/train/office_000096.png,dataset/drivable/masks/train/office_000096.png
office,train,000008,dataset/drivable/images/train/office_000008.png,dataset/drivable/masks/train/office_000008.png
office,train,000279,dataset/drivable/images/train/office_000279.png,dataset/drivable/masks/train/office_000279.png
office,train,000494,dataset/drivable/images/train/office_000494.png,dataset/drivable/masks/train/office_000494.png
office,train,000495,dataset/drivable/images/train/office_000495.png,dataset/drivable/masks/train/office_000495.png
office,train,000294,dataset/drivable/images/train/office_000294.png,dataset/drivable/masks/train/office_000294.png
office,train,000312,dataset/drivable/images/train/office_000312.png,dataset/drivable/masks/train/office_000312.png
office,train,000420,dataset/drivable/images/train/office_000420.png,dataset/drivable/masks/train/office_000420.png
office,train,000066,dataset/drivable/images/train/office_000066.png,dataset/drivable/masks/train/office_000066.png
office,train,000479,dataset/drivable/images/train/office_000479.png,dataset/drivable/masks/train/office_000479.png
office,train,000460,dataset/drivable/images/train/office_000460.png,dataset/drivable/masks/train/office_000460.png
office,train,000198,dataset/drivable/images/train/office_000198.png,dataset/drivable/masks/train/office_000198.png
office,train,000531,dataset/drivable/images/train/office_000531.png,dataset/drivable/masks/train/office_000531.png
office,train,000171,dataset/drivable/images/train/office_000171.png,dataset/drivable/masks/train/office_000171.png
office,train,000492,dataset/drivable/images/train/office_000492.png,dataset/drivable/masks/train/office_000492.png
office,train,000535,dataset/drivable/images/train/office_000535.png,dataset/drivable/masks/train/office_000535.png
office,train,000452,dataset/drivable/images/train/office_000452.png,dataset/drivable/masks/train/office_000452.png
office,train,000119,dataset/drivable/images/train/office_000119.png,dataset/drivable/masks/train/office_000119.png
office,train,000409,dataset/drivable/images/train/office_000409.png,dataset/drivable/masks/train/office_000409.png
office,train,000376,dataset/drivable/images/train/office_000376.png,dataset/drivable/masks/train/office_000376.png
office,train,000172,dataset/drivable/images/train/office_000172.png,dataset/drivable/masks/train/office_000172.png
office,train,000147,dataset/drivable/images/train/office_000147.png,dataset/drivable/masks/train/office_000147.png
office,train,000100,dataset/drivable/images/train/office_000100.png,dataset/drivable/masks/train/office_000100.png
office,train,000168,dataset/drivable/images/train/office_000168.png,dataset/drivable/masks/train/office_000168.png
office,train,000560,dataset/drivable/images/train/office_000560.png,dataset/drivable/masks/train/office_000560.png
office,train,000340,dataset/drivable/images/train/office_000340.png,dataset/drivable/masks/train/office_000340.png
office,train,000586,dataset/drivable/images/train/office_000586.png,dataset/drivable/masks/train/office_000586.png
office,train,000200,dataset/drivable/images/train/office_000200.png,dataset/drivable/masks/train/office_000200.png
office,train,000451,dataset/drivable/images/train/office_000451.png,dataset/drivable/masks/train/office_000451.png
office,train,000140,dataset/drivable/images/train/office_000140.png,dataset/drivable/masks/train/office_000140.png
office,train,000074,dataset/drivable/images/train/office_000074.png,dataset/drivable/masks/train/office_000074.png
office,train,000022,dataset/drivable/images/train/office_000022.png,dataset/drivable/masks/train/office_000022.png
office,train,000192,dataset/drivable/images/train/office_000192.png,dataset/drivable/masks/train/office_000192.png
office,train,000324,dataset/drivable/images/train/office_000324.png,dataset/drivable/masks/train/office_000324.png
office,train,000014,dataset/drivable/images/train/office_000014.png,dataset/drivable/masks/train/office_000014.png
office,train,000416,dataset/drivable/images/train/office_000416.png,dataset/drivable/masks/train/office_000416.png
office,train,000258,dataset/drivable/images/train/office_000258.png,dataset/drivable/masks/train/office_000258.png
office,train,000042,dataset/drivable/images/train/office_000042.png,dataset/drivable/masks/train/office_000042.png
office,train,000148,dataset/drivable/images/train/office_000148.png,dataset/drivable/masks/train/office_000148.png
office,train,000107,dataset/drivable/images/train/office_000107.png,dataset/drivable/masks/train/office_000107.png
office,train,000262,dataset/drivable/images/train/office_000262.png,dataset/drivable/masks/train/office_000262.png
office,train,000086,dataset/drivable/images/train/office_000086.png,dataset/drivable/masks/train/office_000086.png
office,train,000269,dataset/drivable/images/train/office_000269.png,dataset/drivable/masks/train/office_000269.png
office,train,000178,dataset/drivable/images/train/office_000178.png,dataset/drivable/masks/train/office_000178.png
office,train,000131,dataset/drivable/images/train/office_000131.png,dataset/drivable/masks/train/office_000131.png
office,train,000562,dataset/drivable/images/train/office_000562.png,dataset/drivable/masks/train/office_000562.png
office,train,000463,dataset/drivable/images/train/office_000463.png,dataset/drivable/masks/train/office_000463.png
office,train,000443,dataset/drivable/images/train/office_000443.png,dataset/drivable/masks/train/office_000443.png
office,train,000395,dataset/drivable/images/train/office_000395.png,dataset/drivable/masks/train/office_000395.png
office,train,000472,dataset/drivable/images/train/office_000472.png,dataset/drivable/masks/train/office_000472.png
office,train,000446,dataset/drivable/images/train/office_000446.png,dataset/drivable/masks/train/office_000446.png
office,train,000426,dataset/drivable/images/train/office_000426.png,dataset/drivable/masks/train/office_000426.png
office,train,000559,dataset/drivable/images/train/office_000559.png,dataset/drivable/masks/train/office_000559.png
office,train,000502,dataset/drivable/images/train/office_000502.png,dataset/drivable/masks/train/office_000502.png
office,train,000286,dataset/drivable/images/train/office_000286.png,dataset/drivable/masks/train/office_000286.png
office,train,000455,dataset/drivable/images/train/office_000455.png,dataset/drivable/masks/train/office_000455.png
office,train,000051,dataset/drivable/images/train/office_000051.png,dataset/drivable/masks/train/office_000051.png
office,train,000490,dataset/drivable/images/train/office_000490.png,dataset/drivable/masks/train/office_000490.png
office,train,000317,dataset/drivable/images/train/office_000317.png,dataset/drivable/masks/train/office_000317.png
office,train,000177,dataset/drivable/images/train/office_000177.png,dataset/drivable/masks/train/office_000177.png
office,train,000355,dataset/drivable/images/train/office_000355.png,dataset/drivable/masks/train/office_000355.png
office,train,000584,dataset/drivable/images/train/office_000584.png,dataset/drivable/masks/train/office_000584.png
office,train,000237,dataset/drivable/images/train/office_000237.png,dataset/drivable/masks/train/office_000237.png
office,train,000068,dataset/drivable/images/train/office_000068.png,dataset/drivable/masks/train/office_000068.png
office,train,000164,dataset/drivable/images/train/office_000164.png,dataset/drivable/masks/train/office_000164.png
office,train,000211,dataset/drivable/images/train/office_000211.png,dataset/drivable/masks/train/office_000211.png
office,train,000193,dataset/drivable/images/train/office_000193.png,dataset/drivable/masks/train/office_000193.png
office,train,000155,dataset/drivable/images/train/office_000155.png,dataset/drivable/masks/train/office_000155.png
office,train,000575,dataset/drivable/images/train/office_000575.png,dataset/drivable/masks/train/office_000575.png
office,train,000105,dataset/drivable/images/train/office_000105.png,dataset/drivable/masks/train/office_000105.png
office,train,000045,dataset/drivable/images/train/office_000045.png,dataset/drivable/masks/train/office_000045.png
office,train,000189,dataset/drivable/images/train/office_000189.png,dataset/drivable/masks/train/office_000189.png
office,train,000060,dataset/drivable/images/train/office_000060.png,dataset/drivable/masks/train/office_000060.png
office,train,000403,dataset/drivable/images/train/office_000403.png,dataset/drivable/masks/train/office_000403.png
office,train,000158,dataset/drivable/images/train/office_000158.png,dataset/drivable/masks/train/office_000158.png
office,train,000266,dataset/drivable/images/train/office_000266.png,dataset/drivable/masks/train/office_000266.png
office,train,000184,dataset/drivable/images/train/office_000184.png,dataset/drivable/masks/train/office_000184.png
office,train,000090,dataset/drivable/images/train/office_000090.png,dataset/drivable/masks/train/office_000090.png
office,train,000221,dataset/drivable/images/train/office_000221.png,dataset/drivable/masks/train/office_000221.png
office,train,000063,dataset/drivable/images/train/office_000063.png,dataset/drivable/masks/train/office_000063.png
office,train,000391,dataset/drivable/images/train/office_000391.png,dataset/drivable/masks/train/office_000391.png
office,train,000449,dataset/drivable/images/train/office_000449.png,dataset/drivable/masks/train/office_000449.png
office,train,000488,dataset/drivable/images/train/office_000488.png,dataset/drivable/masks/train/office_000488.png
office,train,000326,dataset/drivable/images/train/office_000326.png,dataset/drivable/masks/train/office_000326.png
office,train,000438,dataset/drivable/images/train/office_000438.png,dataset/drivable/masks/train/office_000438.png
office,train,000380,dataset/drivable/images/train/office_000380.png,dataset/drivable/masks/train/office_000380.png
office,train,000505,dataset/drivable/images/train/office_000505.png,dataset/drivable/masks/train/office_000505.png
office,train,000110,dataset/drivable/images/train/office_000110.png,dataset/drivable/masks/train/office_000110.png
office,train,000285,dataset/drivable/images/train/office_000285.png,dataset/drivable/masks/train/office_000285.png
office,train,000187,dataset/drivable/images/train/office_000187.png,dataset/drivable/masks/train/office_000187.png
office,train,000149,dataset/drivable/images/train/office_000149.png,dataset/drivable/masks/train/office_000149.png
office,train,000361,dataset/drivable/images/train/office_000361.png,dataset/drivable/masks/train/office_000361.png
office,train,000427,dataset/drivable/images/train/office_000427.png,dataset/drivable/masks/train/office_000427.png
office,train,000255,dataset/drivable/images/train/office_000255.png,dataset/drivable/masks/train/office_000255.png
office,train,000518,dataset/drivable/images/train/office_000518.png,dataset/drivable/masks/train/office_000518.png
office,train,000176,dataset/drivable/images/train/office_000176.png,dataset/drivable/masks/train/office_000176.png
office,train,000019,dataset/drivable/images/train/office_000019.png,dataset/drivable/masks/train/office_000019.png
office,train,000028,dataset/drivable/images/train/office_000028.png,dataset/drivable/masks/train/office_000028.png
office,train,000227,dataset/drivable/images/train/office_000227.png,dataset/drivable/masks/train/office_000227.png
office,train,000143,dataset/drivable/images/train/office_000143.png,dataset/drivable/masks/train/office_000143.png
office,train,000309,dataset/drivable/images/train/office_000309.png,dataset/drivable/masks/train/office_000309.png
office,train,000580,dataset/drivable/images/train/office_000580.png,dataset/drivable/masks/train/office_000580.png
office,train,000215,dataset/drivable/images/train/office_000215.png,dataset/drivable/masks/train/office_000215.png
office,train,000113,dataset/drivable/images/train/office_000113.png,dataset/drivable/masks/train/office_000113.png
office,train,000501,dataset/drivable/images/train/office_000501.png,dataset/drivable/masks/train/office_000501.png
office,train,000411,dataset/drivable/images/train/office_000411.png,dataset/drivable/masks/train/office_000411.png
office,train,000582,dataset/drivable/images/train/office_000582.png,dataset/drivable/masks/train/office_000582.png
office,train,000402,dataset/drivable/images/train/office_000402.png,dataset/drivable/masks/train/office_000402.png
office,train,000313,dataset/drivable/images/train/office_000313.png,dataset/drivable/masks/train/office_000313.png
office,train,000431,dataset/drivable/images/train/office_000431.png,dataset/drivable/masks/train/office_000431.png
office,train,000011,dataset/drivable/images/train/office_000011.png,dataset/drivable/masks/train/office_000011.png
office,train,000497,dataset/drivable/images/train/office_000497.png,dataset/drivable/masks/train/office_000497.png
office,train,000400,dataset/drivable/images/train/office_000400.png,dataset/drivable/masks/train/office_000400.png
office,train,000308,dataset/drivable/images/train/office_000308.png,dataset/drivable/masks/train/office_000308.png
office,train,000023,dataset/drivable/images/train/office_000023.png,dataset/drivable/masks/train/office_000023.png
office,train,000013,dataset/drivable/images/train/office_000013.png,dataset/drivable/masks/train/office_000013.png
office,train,000522,dataset/drivable/images/train/office_000522.png,dataset/drivable/masks/train/office_000522.png
office,train,000125,dataset/drivable/images/train/office_000125.png,dataset/drivable/masks/train/office_000125.png
office,train,000474,dataset/drivable/images/train/office_000474.png,dataset/drivable/masks/train/office_000474.png
office,train,000503,dataset/drivable/images/train/office_000503.png,dataset/drivable/masks/train/office_000503.png
office,train,000162,dataset/drivable/images/train/office_000162.png,dataset/drivable/masks/train/office_000162.png
office,train,000534,dataset/drivable/images/train/office_000534.png,dataset/drivable/masks/train/office_000534.png
office,train,000052,dataset/drivable/images/train/office_000052.png,dataset/drivable/masks/train/office_000052.png
office,train,000087,dataset/drivable/images/train/office_000087.png,dataset/drivable/masks/train/office_000087.png
office,train,000183,dataset/drivable/images/train/office_000183.png,dataset/drivable/masks/train/office_000183.png
office,train,000053,dataset/drivable/images/train/office_000053.png,dataset/drivable/masks/train/office_000053.png
office,train,000154,dataset/drivable/images/train/office_000154.png,dataset/drivable/masks/train/office_000154.png
office,train,000245,dataset/drivable/images/train/office_000245.png,dataset/drivable/masks/train/office_000245.png
office,train,000069,dataset/drivable/images/train/office_000069.png,dataset/drivable/masks/train/office_000069.png
office,train,000039,dataset/drivable/images/train/office_000039.png,dataset/drivable/masks/train/office_000039.png
office,train,000530,dataset/drivable/images/train/office_000530.png,dataset/drivable/masks/train/office_000530.png
office,train,000190,dataset/drivable/images/train/office_000190.png,dataset/drivable/masks/train/office_000190.png
office,train,000341,dataset/drivable/images/train/office_000341.png,dataset/drivable/masks/train/office_000341.png
office,train,000282,dataset/drivable/images/train/office_000282.png,dataset/drivable/masks/train/office_000282.png
office,train,000247,dataset/drivable/images/train/office_000247.png,dataset/drivable/masks/train/office_000247.png
office,train,000291,dataset/drivable/images/train/office_000291.png,dataset/drivable/masks/train/office_000291.png
office,train,000026,dataset/drivable/images/train/office_000026.png,dataset/drivable/masks/train/office_000026.png
office,train,000366,dataset/drivable/images/train/office_000366.png,dataset/drivable/masks/train/office_000366.png
office,train,000076,dataset/drivable/images/train/office_000076.png,dataset/drivable/masks/train/office_000076.png
office,train,000141,dataset/drivable/images/train/office_000141.png,dataset/drivable/masks/train/office_000141.png
office,train,000209,dataset/drivable/images/train/office_000209.png,dataset/drivable/masks/train/office_000209.png
office,train,000170,dataset/drivable/images/train/office_000170.png,dataset/drivable/masks/train/office_000170.png
office,train,000002,dataset/drivable/images/train/office_000002.png,dataset/drivable/masks/train/office_000002.png
office,train,000364,dataset/drivable/images/train/office_000364.png,dataset/drivable/masks/train/office_000364.png
office,train,000532,dataset/drivable/images/train/office_000532.png,dataset/drivable/masks/train/office_000532.png
office,train,000507,dataset/drivable/images/train/office_000507.png,dataset/drivable/masks/train/office_000507.png
office,train,000156,dataset/drivable/images/train/office_000156.png,dataset/drivable/masks/train/office_000156.png
office,train,000077,dataset/drivable/images/train/office_000077.png,dataset/drivable/masks/train/office_000077.png
office,train,000180,dataset/drivable/images/train/office_000180.png,dataset/drivable/masks/train/office_000180.png
office,train,000139,dataset/drivable/images/train/office_000139.png,dataset/drivable/masks/train/office_000139.png
office,train,000213,dataset/drivable/images/train/office_000213.png,dataset/drivable/masks/train/office_000213.png
office,train,000375,dataset/drivable/images/train/office_000375.png,dataset/drivable/masks/train/office_000375.png
office,train,000418,dataset/drivable/images/train/office_000418.png,dataset/drivable/masks/train/office_000418.png
office,train,000072,dataset/drivable/images/train/office_000072.png,dataset/drivable/masks/train/office_000072.png
office,train,000566,dataset/drivable/images/train/office_000566.png,dataset/drivable/masks/train/office_000566.png
office,train,000062,dataset/drivable/images/train/office_000062.png,dataset/drivable/masks/train/office_000062.png
office,train,000407,dataset/drivable/images/train/office_000407.png,dataset/drivable/masks/train/office_000407.png
office,train,000017,dataset/drivable/images/train/office_000017.png,dataset/drivable/masks/train/office_000017.png
office,train,000578,dataset/drivable/images/train/office_000578.png,dataset/drivable/masks/train/office_000578.png
office,train,000591,dataset/drivable/images/train/office_000591.png,dataset/drivable/masks/train/office_000591.png
office,train,000546,dataset/drivable/images/train/office_000546.png,dataset/drivable/masks/train/office_000546.png
office,train,000033,dataset/drivable/images/train/office_000033.png,dataset/drivable/masks/train/office_000033.png
office,train,000261,dataset/drivable/images/train/office_000261.png,dataset/drivable/masks/train/office_000261.png
office,train,000129,dataset/drivable/images/train/office_000129.png,dataset/drivable/masks/train/office_000129.png
office,train,000447,dataset/drivable/images/train/office_000447.png,dataset/drivable/masks/train/office_000447.png
office,train,000137,dataset/drivable/images/train/office_000137.png,dataset/drivable/masks/train/office_000137.png
office,train,000018,dataset/drivable/images/train/office_000018.png,dataset/drivable/masks/train/office_000018.png
office,train,000508,dataset/drivable/images/train/office_000508.png,dataset/drivable/masks/train/office_000508.png
office,train,000144,dataset/drivable/images/train/office_000144.png,dataset/drivable/masks/train/office_000144.png
office,train,000542,dataset/drivable/images/train/office_000542.png,dataset/drivable/masks/train/office_000542.png
office,train,000441,dataset/drivable/images/train/office_000441.png,dataset/drivable/masks/train/office_000441.png
office,train,000004,dataset/drivable/images/train/office_000004.png,dataset/drivable/masks/train/office_000004.png
office,train,000037,dataset/drivable/images/train/office_000037.png,dataset/drivable/masks/train/office_000037.png
office,train,000268,dataset/drivable/images/train/office_000268.png,dataset/drivable/masks/train/office_000268.png
office,train,000525,dataset/drivable/images/train/office_000525.png,dataset/drivable/masks/train/office_000525.png
office,train,000153,dataset/drivable/images/train/office_000153.png,dataset/drivable/masks/train/office_000153.png
office,train,000357,dataset/drivable/images/train/office_000357.png,dataset/drivable/masks/train/office_000357.png
office,train,000202,dataset/drivable/images/train/office_000202.png,dataset/drivable/masks/train/office_000202.png
office,train,000302,dataset/drivable/images/train/office_000302.png,dataset/drivable/masks/train/office_000302.png
office,train,000422,dataset/drivable/images/train/office_000422.png,dataset/drivable/masks/train/office_000422.png
office,train,000289,dataset/drivable/images/train/office_000289.png,dataset/drivable/masks/train/office_000289.png
office,train,000567,dataset/drivable/images/train/office_000567.png,dataset/drivable/masks/train/office_000567.png
office,train,000133,dataset/drivable/images/train/office_000133.png,dataset/drivable/masks/train/office_000133.png
office,train,000161,dataset/drivable/images/train/office_000161.png,dataset/drivable/masks/train/office_000161.png
office,train,000267,dataset/drivable/images/train/office_000267.png,dataset/drivable/masks/train/office_000267.png
office,train,000537,dataset/drivable/images/train/office_000537.png,dataset/drivable/masks/train/office_000537.png
office,train,000280,dataset/drivable/images/train/office_000280.png,dataset/drivable/masks/train/office_000280.png
office,train,000020,dataset/drivable/images/train/office_000020.png,dataset/drivable/masks/train/office_000020.png
office,train,000466,dataset/drivable/images/train/office_000466.png,dataset/drivable/masks/train/office_000466.png
office,train,000385,dataset/drivable/images/train/office_000385.png,dataset/drivable/masks/train/office_000385.png
office,train,000336,dataset/drivable/images/train/office_000336.png,dataset/drivable/masks/train/office_000336.png
office,train,000120,dataset/drivable/images/train/office_000120.png,dataset/drivable/masks/train/office_000120.png
office,train,000468,dataset/drivable/images/train/office_000468.png,dataset/drivable/masks/train/office_000468.png
office,train,000414,dataset/drivable/images/train/office_000414.png,dataset/drivable/masks/train/office_000414.png
office,train,000587,dataset/drivable/images/train/office_000587.png,dataset/drivable/masks/train/office_000587.png
office,train,000041,dataset/drivable/images/train/office_000041.png,dataset/drivable/masks/train/office_000041.png
office,train,000496,dataset/drivable/images/train/office_000496.png,dataset/drivable/masks/train/office_000496.png
office,train,000288,dataset/drivable/images/train/office_000288.png,dataset/drivable/masks/train/office_000288.png
office,train,000458,dataset/drivable/images/train/office_000458.png,dataset/drivable/masks/train/office_000458.png
office,train,000573,dataset/drivable/images/train/office_000573.png,dataset/drivable/masks/train/office_000573.png
office,train,000257,dataset/drivable/images/train/office_000257.png,dataset/drivable/masks/train/office_000257.png
office,train,000244,dataset/drivable/images/train/office_000244.png,dataset/drivable/masks/train/office_000244.png
office,train,000318,dataset/drivable/images/train/office_000318.png,dataset/drivable/masks/train/office_000318.png
office,train,000356,dataset/drivable/images/train/office_000356.png,dataset/drivable/masks/train/office_000356.png
office,train,000160,dataset/drivable/images/train/office_000160.png,dataset/drivable/masks/train/office_000160.png
office,train,000347,dataset/drivable/images/train/office_000347.png,dataset/drivable/masks/train/office_000347.png
office,train,000277,dataset/drivable/images/train/office_000277.png,dataset/drivable/masks/train/office_000277.png
office,train,000421,dataset/drivable/images/train/office_000421.png,dataset/drivable/masks/train/office_000421.png
office,train,000111,dataset/drivable/images/train/office_000111.png,dataset/drivable/masks/train/office_000111.png
office,train,000151,dataset/drivable/images/train/office_000151.png,dataset/drivable/masks/train/office_000151.png
office,train,000331,dataset/drivable/images/train/office_000331.png,dataset/drivable/masks/train/office_000331.png
office,train,000079,dataset/drivable/images/train/office_000079.png,dataset/drivable/masks/train/office_000079.png
office,train,000249,dataset/drivable/images/train/office_000249.png,dataset/drivable/masks/train/office_000249.png
office,train,000543,dataset/drivable/images/train/office_000543.png,dataset/drivable/masks/train/office_000543.png
office,train,000442,dataset/drivable/images/train/office_000442.png,dataset/drivable/masks/train/office_000442.png
office,train,000513,dataset/drivable/images/train/office_000513.png,dataset/drivable/masks/train/office_000513.png
office,train,000457,dataset/drivable/images/train/office_000457.png,dataset/drivable/masks/train/office_000457.png
office,train,000404,dataset/drivable/images/train/office_000404.png,dataset/drivable/masks/train/office_000404.png
